Frame,X,Y,Z
1,0.6545626348405453,0.3244699979253784,-0.058409230500832354
2,0.6565358208734202,0.322540731696133,-0.048361990513231756
3,0.6573610359893933,0.3217132177694866,-0.044269823524907714
4,0.6565358208734202,0.322540731696133,-0.048361990513231756
5,0.6565358208734202,0.322540731696133,-0.048361990513231756
6,0.656596120043093,0.32248026455041107,-0.04806297239446211
7,0.6573610359893932,0.3217132177694867,-0.04426982352490816
8,0.6548716087843831,0.32420957979878506,-0.056614667470435975
9,0.6569460855616612,0.3221293241291128,-0.04632752509785343
10,0.6565832063580759,0.3224932142092203,-0.0481270101883684
11,0.6565832063580759,0.3224932142092203,-0.0481270101883684
12,0.6522749911745178,0.3266873267544147,-0.06873489681925671
13,0.6544284745277693,0.32465394849929,-0.05881213009710207
14,0.6522749911745178,0.3266873267544147,-0.06873489681925671
15,0.6515597550834584,0.3273805787795552,-0.07196323579741515
16,0.6546285187495909,0.3244061390766137,-0.05811185234239735
17,0.6516092008235814,0.32733265284306606,-0.07174005409260653
18,0.654628518749591,0.3244061390766136,-0.05811185234239691
19,0.654628518749591,0.3244061390766136,-0.05811185234239691
20,0.6546285187495909,0.3244061390766137,-0.05811185234239735
21,0.6550824683924935,0.3239661423913403,-0.05606287390769227
22,0.655024861215828,0.3240219789079607,-0.056322893635688764
23,0.6520104490209341,0.3269437377297546,-0.06992895253939668
24,0.6542565828607189,0.3247666428478943,-0.059790647837243416
25,0.6542565828607189,0.3247666428478943,-0.059790647837243416
26,0.6516092008235814,0.32733265284306606,-0.07174005409260653
27,0.6511841292018776,0.32774465912499084,-0.07365868669799225
28,0.6487637761474837,0.3300906182809782,-0.08458335926985772
29,0.6487637761474837,0.3300906182809782,-0.08458335926985772
30,0.6492305029078176,0.3296382372059274,-0.082476709156182
31,0.6549588192069408,0.3240859909970846,-0.05662098540447946
32,0.6549588192069407,0.32408599099708474,-0.05662098540447991
33,0.6526939463250354,0.32628124894294813,-0.06684387194030705
34,0.6520104490209341,0.3269437377297546,-0.06992895253939668
35,0.654423825128003,0.32699093483359304,-0.07002968708227542
36,0.6539737114395532,0.3274293697483391,-0.07207128508425376
37,0.6543084743063898,0.32471634637901003,-0.059556427027098735
38,0.6515581467742653,0.32738213765447643,-0.07197049517277643
39,0.6471834048737959,0.32684933781290054,-0.06972747126832823
40,0.6563739119448406,0.330386175840892,-0.04220953008160988
41,0.6443533010609608,0.3248499702933762,-0.071666545388267
42,0.641554391514172,0.3251648462094526,-0.07326097296123057
43,0.6368106275670584,0.32263091363405094,-0.07283799506986277
44,0.6382767279730739,0.31897948792266767,-0.05578050567265924
45,0.6328315487265642,0.31939448877770377,-0.06909278328874224
46,0.6328239509533193,0.3170506794459779,-0.06930643489097621
47,0.6328239509533193,0.3170506794459779,-0.06930643489097621
48,0.6328678363531478,0.3146593884681583,-0.06929637933212796
49,0.6328678363531478,0.3146593884681583,-0.06929637933212796
